,ddl,summerflag,winterflag,prem,year,pool,estimate,trued,bucketed,ddl_18,summerflag_18,winterflag_18,year_18,pool_18,factor_18,trued_18,bucketed_18,ddl_17,summerflag_17,winterflag_17,year_17,pool_17,factor_17,trued_17,bucketed_17,variation
28010,3.301,0,1,14678323,2019,ATL,1.221567,4.032392667000001,4.349,3.297,0.0,0.0,2018.0,ATL,1.2182,4.0164054,4.349,12.118,0.0,0.0,2017.0,ATL,1.2617,15.289280600000001,16.24,25.924924333333333
28012,14.828,0,0,14678924,2019,ATL,1.221567,18.113395476,20.379,14.61,0.0,0.0,2018.0,ATL,1.2182,17.797901999999997,16.24,23.545,0.0,0.0,2017.0,ATL,1.2617,29.706726500000002,33.209,25.977973000000013
28014,47.38399999999999,0,0,14679525,2019,ATL,1.221567,57.882730728,48.29,29.012,0.0,0.0,2018.0,ATL,1.2182,35.3424184,33.209,28.746,0.0,0.0,2017.0,ATL,1.2617,36.2688282,33.209,114.16269733333324
28746,19.692,0,0,15005058,2019,ATL,1.221567,24.055097364,25.362,16.878,0.0,0.0,2018.0,ATL,1.2182,20.5607796,20.379,7.315,0.0,0.0,2017.0,ATL,1.2617,9.229335500000001,9.479,42.093282333333335
29039,35.01,0,0,15150645,2019,ATL,1.221567,42.76706067,48.29,27.652,0.0,0.0,2018.0,ATL,1.2182,33.6856664,33.209,2.5660000000000003,0.0,0.0,2017.0,ATL,1.2617,3.2375222000000003,3.316,289.3434493333333
29304,23.679000000000002,0,0,15288338,2019,ATL,1.221567,28.925484993000005,33.209,18.252,0.0,0.0,2018.0,ATL,1.2182,22.234586399999998,25.362,12.93,0.0,0.0,2017.0,ATL,1.2617,16.313781,16.24,28.886169000000013
29483,6.897,0,0,15367339,2019,TRA,1.154433,7.9621244010000005,7.939,29.002,0.0,0.0,2018.0,TRA,1.1404,33.0738808,33.209,42.786,0.0,0.0,2017.0,TRA,1.2324,52.7294664,48.29,327.7750003333333
29945,43.223,0,0,15593646,2019,ATL,1.221567,52.799790441,48.29,12.237,0.0,0.0,2018.0,ATL,1.2182,14.9071134,16.24,19.139,0.0,0.0,2017.0,ATL,1.2617,24.1476763,25.362,264.6348093333333
30504,31.557,0,0,15866914,2019,BRU,1.132533,35.739343880999996,33.209,35.037,0.0,0.0,2018.0,BRU,1.2119,42.461340299999996,48.29,9.419,0.0,0.0,2017.0,BRU,1.054,9.927626000000002,9.978,193.08056133333332
31413,24.56900000000001,0,0,16249046,2019,ATL,1.221567,30.012679623000015,33.209,26.756,0.0,0.0,2018.0,ATL,1.2182,32.5941592,33.209,35.24,0.0,0.0,2017.0,ATL,1.2617,44.46230800000001,48.29,31.771910999999967
32413,49.32,0,0,16741524,2019,ATL,1.221567,60.24768444,61.754,17.703,0.0,0.0,2018.0,ATL,1.2182,21.565794599999997,20.379,23.934,0.0,0.0,2017.0,ATL,1.2617,30.197527800000003,33.209,280.4848410000001
33247,42.581,0,0,17101746,2019,ATL,1.221567,52.01554442700001,48.29,27.654,0.0,0.0,2018.0,ATL,1.2182,33.688102799999996,33.209,2.822,0.0,0.0,2017.0,ATL,1.2617,3.5605174,3.831,403.37027233333345
33752,5.7810000000000015,0,0,17323114,2019,ATL,1.221567,7.061878827000002,7.425,27.232,0.0,0.0,2018.0,ATL,1.2182,33.1740224,33.209,36.455,0.0,0.0,2017.0,ATL,1.2617,45.995273499999996,48.29,247.68390099999993
34189,42.451,0,0,17566729,2019,SNG,1.0985,46.6324235,48.29,41.075,0.0,0.0,2018.0,SNG,1.0775,44.2583125,48.29,27.771,0.0,0.0,2017.0,SNG,1.1546,32.0643966,33.209,65.732032
34190,0.254,0,0,17567330,2019,SNG,1.0985,0.279019,0.255,24.528,0.0,0.0,2018.0,SNG,1.0775,26.428919999999998,25.362,18.369,0.0,0.0,2017.0,SNG,1.1546,21.2088474,20.379,159.21893033333333
34831,11.698,0,0,17938147,2019,SNG,1.0985,12.850253,13.288,31.952,0.0,0.0,2018.0,SNG,1.0775,34.42828,33.209,65.42699999999999,0.0,0.0,2017.0,SNG,1.1546,75.5420142,77.431,736.2675969999998
35099,22.02,0,0,18063127,2019,ATL,1.221567,26.898905340000002,25.362,16.835,0.0,0.0,2018.0,ATL,1.2182,20.508397,20.379,8.783,0.0,0.0,2017.0,ATL,1.2617,11.0815111,11.225,44.489516333333334
35467,85.46,0,0,18286957,2019,ATL,1.221567,104.39511582,107.005,74.222,0.0,0.0,2018.0,ATL,1.2182,90.41724039999998,92.678,80.444,0.0,0.0,2017.0,ATL,1.2617,101.49619480000001,104.034,31.694364
35480,0.9620000000000001,0,0,18293715,2019,TRA,1.154433,1.1105645460000002,1.178,260.386,0.0,0.0,2018.0,TRA,1.1404,296.9441944000001,304.368,,-1.0,0.0,2017.0,TRA,1.2324,,,33650.40588800001
35589,,-1,0,18343721,2019,ATL,1.221567,,,36.938,0.0,0.0,2018.0,ATL,1.2182,44.9978716,48.29,48.197,0.0,0.0,2017.0,ATL,1.2617,60.81015490000001,62.33,63.382540500000005
35710,49.011,0,0,18407218,2019,ATL,1.221567,59.870220237000005,48.29,43.052,0.0,0.0,2018.0,ATL,1.2182,52.4459464,48.29,61.378,0.0,0.0,2017.0,ATL,1.2617,77.4406226,79.377,87.382441
35792,19.04,0,0,18444354,2019,ATL,1.221567,23.25863568,25.362,8.248,0.0,0.0,2018.0,ATL,1.2182,10.047713599999998,11.225,5.41,0.0,0.0,2017.0,ATL,1.2617,6.825797000000001,6.906,51.71640133333333
35885,17.442999999999998,0,0,18480424,2019,ATL,1.221567,21.307793180999997,20.379,22.597,0.0,0.0,2018.0,ATL,1.2182,27.5276654,25.362,5.532,0.0,0.0,2017.0,ATL,1.2617,6.9797244,6.906,76.60831033333334
36550,157.856,0,0,18787360,2019,MAC,1.2811,202.2293216,207.285,160.686,0.0,0.0,2018.0,MAC,1.2697,204.0230142,209.124,43.264,0.0,0.0,2017.0,MAC,1.3218,57.18635520000001,48.29,4487.876908
36552,22.593000000000004,0,0,18788562,2019,MAC,1.2811,28.9438923,33.209,12.776,0.0,0.0,2018.0,MAC,1.2697,16.2216872,16.24,22.885,0.0,0.0,2017.0,MAC,1.3218,30.249393000000005,33.209,33.10843900000002
36572,3.718,0,0,18798814,2019,ATL,1.221567,4.541786106,4.863,11.374,0.0,0.0,2018.0,ATL,1.2182,13.8558068,13.288,,-1.0,0.0,2017.0,ATL,1.2617,,,29.307168000000004
36890,17.172,0,0,18981230,2019,ATL,1.221567,20.976748524,20.379,19.523,0.0,0.0,2018.0,ATL,1.2182,23.7829186,25.362,35.492,0.0,0.0,2017.0,ATL,1.2617,44.7802564,48.29,99.3597603333333
36997,13.02,0,0,19034349,2019,ATL,1.221567,15.90480234,16.24,32.015,0.0,0.0,2018.0,ATL,1.2182,39.000673,48.29,5.908,0.0,0.0,2017.0,ATL,1.2617,7.454123600000001,7.425,182.161003
37693,26.778000000000002,0,0,19368527,2019,MAC,1.2811,34.3052958,33.209,20.365,0.0,0.0,2018.0,MAC,1.2697,25.8574405,25.362,9.03,0.0,0.0,2017.0,MAC,1.3218,11.935853999999999,11.225,80.76671633333336
37835,118.42399999999999,0,0,19439714,2019,SAV,1.2909329999999999,152.87744959199998,156.699,149.928,0.0,0.0,2018.0,SAV,1.2667,189.91379759999998,194.662,177.31400000000005,0.0,0.0,2017.0,SAV,1.3493,239.24978020000006,245.231,868.421185333335
38038,14.527000000000001,0,0,19563433,2019,ATL,1.221567,17.745703809000002,16.24,17.675,0.0,0.0,2018.0,ATL,1.2182,21.531685,20.379,3.518,0.0,0.0,2017.0,ATL,1.2617,4.4386605999999995,4.349,55.254772333333335
38115,20.779,0,0,19604602,2019,ATL,1.221567,25.382940693000002,25.362,26.593000000000004,0.0,0.0,2018.0,ATL,1.2182,32.3955926,33.209,8.775,0.0,0.0,2017.0,ATL,1.2617,11.0714175,11.225,82.56328933333336
38168,61.398,0,0,19630144,2019,ATL,1.221567,75.00177066600001,76.877,53.93899999999999,0.0,0.0,2018.0,ATL,1.2182,65.7084898,67.351,,,,,,,,,27.818340500000076
38837,60.468999999999994,0,0,19937213,2019,ATL,1.221567,73.866934923,75.714,0.0,0.0,0.0,2018.0,ATL,1.2182,0.0,0.024,0.0,0.0,0.0,2017.0,ATL,1.2617,0.0,0.024,1218.833320333333
39170,11.133,0,0,20122934,2019,ATL,1.221567,13.599705411,13.288,1.457,0.0,0.0,2018.0,ATL,1.2182,1.7749174,1.793,51.702,0.0,0.0,2017.0,ATL,1.2617,65.2324134,66.863,710.6714603333332
39589,9.282,0,0,20310421,2019,ATL,1.221567,11.338584894,11.225,15.863,0.0,0.0,2018.0,ATL,1.2182,19.3243066,20.379,4.114,0.0,0.0,2017.0,ATL,1.2617,5.1906338,5.374,34.676131
39802,69.817,0,0,20418934,2019,TRA,1.154433,80.59904876099999,82.614,60.0,0.0,0.0,2018.0,TRA,1.1404,68.424,70.135,28.202,0.0,0.0,2017.0,TRA,1.2324,34.7561448,33.209,473.21575299999984
39863,39.214,0,0,20453933,2019,ATL,1.221567,47.902528338,48.29,39.389,0.0,0.0,2018.0,ATL,1.2182,47.983679800000004,48.29,48.565,0.0,0.0,2017.0,ATL,1.2617,61.274460499999996,62.806,28.611800333333317
40152,16.252,0,0,20600577,2019,ATL,1.221567,19.852906884,20.379,4.556,0.0,0.0,2018.0,ATL,1.2182,5.5501192,5.887,5.142,0.0,0.0,2017.0,ATL,1.2617,6.4876614,6.396,43.428651999999985
40282,42.69,0,0,20687825,2019,ATL,1.221567,52.14869523,48.29,44.438,0.0,0.0,2018.0,ATL,1.2182,54.1343716,48.29,30.492,0.0,0.0,2017.0,ATL,1.2617,38.471756400000004,48.29,57.72293733333333
40573,2.695,0,0,20867523,2019,TRA,1.154433,3.1111969349999997,3.316,0.376,0.0,0.0,2018.0,TRA,1.1404,0.4287904,0.461,23.307,0.0,0.0,2017.0,TRA,1.2324,28.723546799999998,33.209,159.34384433333332
40878,20.565,0,0,21023681,2019,MAC,1.2811,26.3458215,25.362,9.428,0.0,0.0,2018.0,MAC,1.2697,11.970731600000002,11.225,10.282,0.0,0.0,2017.0,MAC,1.3218,13.5907476,13.288,38.41702900000001
41252,27.359,0,0,21196769,2019,ATL,1.221567,33.420851553000006,33.209,23.398000000000003,0.0,0.0,2018.0,ATL,1.2182,28.503443600000004,33.209,15.565,0.0,0.0,2017.0,ATL,1.2617,19.6383605,20.379,36.02397433333335
41462,24.975,0,0,21307353,2019,ROM,1.112033,27.773024175000003,25.362,12.649,0.0,0.0,2018.0,ROM,1.0876,13.757052399999997,13.288,12.517,0.0,0.0,2017.0,ROM,1.1691,14.6336247,16.24,51.19157733333335
41578,12.123,0,0,21366316,2019,ATL,1.221567,14.809056741000001,16.24,9.01,0.0,0.0,2018.0,ATL,1.2182,10.975982,11.225,1.362,0.0,0.0,2017.0,ATL,1.2617,1.7184354000000002,1.793,30.663632333333332
42292,41.967,0,0,21727452,2019,ATL,1.221567,51.265502289000004,48.29,44.538,0.0,0.0,2018.0,ATL,1.2182,54.256191599999994,48.29,55.052,0.0,0.0,2017.0,ATL,1.2617,69.4591084,71.196,48.061910333333344
42306,17.061,0,0,21736467,2019,ATL,1.221567,20.841154587000002,20.379,0.017,0.0,0.0,2018.0,ATL,1.2182,0.0207094,0.024,6.32,0.0,0.0,2017.0,ATL,1.2617,7.973944,7.939,74.26580433333332
42718,,-1,0,21947838,2019,ATL,1.221567,,,25.24,0.0,0.0,2018.0,ATL,1.2182,30.747367999999998,33.209,37.062,0.0,0.0,2017.0,ATL,1.2617,46.7611254,48.29,69.879842
